x,y_upper,y_lower
22.645290581162325,28.80432667996226,16.48625448236239
22.845691382765533,29.02390138020057,16.667481385330497
23.04609218436874,29.243276425410603,16.848907943326875
23.246492985971944,29.46245364393583,17.030532328008057
23.44689378757515,29.681434823146084,17.212352752004215
23.647294589178358,29.90022171061571,17.394367467741006
23.847695390781563,30.118816015257032,17.576574766306095
24.04809619238477,30.337219408411162,17.758972976358375
24.248496993987978,30.5554335248981,17.941560463077856
24.448897795591183,30.773459964027893,18.124335627154473
24.649298597194388,30.99130029057472,18.307296903814056
24.849699398797597,31.20895603571539,18.490442761879805
25.050100200400802,31.426428697933904,18.6737717028677
25.250501002004007,31.643719743893605,18.85728226011441
25.450901803607216,31.860830609278143,19.04097299793629
25.65130260521042,32.077762699602765,19.224842510818082
25.851703406813627,32.29451739099712,19.408889422630132
