name,run_id_minimal_pair_analysis_fr,state_minimal_pair_analysis_fr,seed_minimal_pair_analysis_fr,model_name_minimal_pair_analysis_fr,dataset_name_minimal_pair_analysis_fr,compute_subcat_bool_minimal_pair_analysis_fr,_runtime_minimal_pair_analysis_fr,_step_minimal_pair_analysis_fr,_timestamp_minimal_pair_analysis_fr,_wandb_minimal_pair_analysis_fr,test_minimal_pair_analysis_fr,run_id_minimal_pair_analysis_multiblimp,state_minimal_pair_analysis_multiblimp,seed_minimal_pair_analysis_multiblimp,model_name_minimal_pair_analysis_multiblimp,dataset_name_minimal_pair_analysis_multiblimp,compute_subcat_bool_minimal_pair_analysis_multiblimp,_runtime_minimal_pair_analysis_multiblimp,_step_minimal_pair_analysis_multiblimp,_timestamp_minimal_pair_analysis_multiblimp,_wandb_minimal_pair_analysis_multiblimp,test_minimal_pair_analysis_multiblimp
Phi-3.5-mini-instruct-bnb-4bit,q6g6oac5,finished,42,unsloth/Phi-3.5-mini-instruct-bnb-4bit,frblimp,True,176.83715312,0,1737315006.9851098,{'runtime': 176},"{'accuracy': 86.6, 'accuracy_per_subcat': {'1': 88.66, '10': 85.71, '11': 90, '12': 97, '13': 83.33, '14': 80.41, '15': 90, '16': 88.33, '17': 90, '18': 63.33, '19': 70, '2': 93.68, '20': 36.51, '3': 97.94, '4': 96.88, '5': 98.99, '6': 93.81, '7': 93.86, '8': 89.62, '9': 74.34}}",v5k8ehng,finished,42,unsloth/Phi-3.5-mini-instruct-bnb-4bit,qfrcola,False,53,0,1757743858.2095351,{'runtime': 53},{'accuracy': 94.9}
Phi-3-mini-4k-instruct,kcp0p5ec,finished,42,microsoft/Phi-3-mini-4k-instruct,frblimp,True,176.258430952,0,1737315189.4636085,{'runtime': 176},"{'accuracy': 86.31, 'accuracy_per_subcat': {'1': 88.66, '10': 85.71, '11': 92, '12': 97, '13': 82.29, '14': 82.47, '15': 85, '16': 93.33, '17': 83.33, '18': 78.33, '19': 73.33, '2': 93.68, '20': 41.27, '3': 96.91, '4': 96.88, '5': 95.96, '6': 91.75, '7': 89.47, '8': 88.68, '9': 69.03}}",1zvxr894,finished,42,microsoft/Phi-3-mini-4k-instruct,qfrcola,False,53,0,1757743922.251084,{'runtime': 53},{'accuracy': 96.86}
gemma-2-2b-bnb-4bit,5ch5aw1g,finished,42,unsloth/gemma-2-2b-bnb-4bit,frblimp,True,164.475404971,0,1737315360.2346866,{'runtime': 164},"{'accuracy': 86.26, 'accuracy_per_subcat': {'1': 85.57, '10': 91.21, '11': 88, '12': 96, '13': 79.17, '14': 76.29, '15': 95, '16': 96.67, '17': 91.67, '18': 90, '19': 75, '2': 96.84, '20': 28.57, '3': 95.88, '4': 93.75, '5': 98.99, '6': 89.69, '7': 92.11, '8': 87.74, '9': 65.49}}",z8in8wan,finished,42,unsloth/gemma-2-2b-bnb-4bit,qfrcola,False,64,0,1757743996.948496,{'runtime': 64},{'accuracy': 96.86}
gemma-2-2b-it-bnb-4bit,rnldwvds,finished,42,unsloth/gemma-2-2b-it-bnb-4bit,frblimp,True,162.739384107,0,1737315529.4649374,{'runtime': 162},"{'accuracy': 84.95, 'accuracy_per_subcat': {'1': 83.51, '10': 91.21, '11': 85, '12': 93, '13': 83.33, '14': 79.38, '15': 91.67, '16': 96.67, '17': 90, '18': 83.33, '19': 70, '2': 91.58, '20': 22.22, '3': 95.88, '4': 95.83, '5': 100, '6': 88.66, '7': 88.6, '8': 86.79, '9': 65.49}}",h9bbc5jm,finished,42,unsloth/gemma-2-2b-it-bnb-4bit,qfrcola,False,54,0,1757744061.9596558,{'runtime': 54},{'accuracy': 95.69}
gemma-2-9b-bnb-4bit,yeg5meek,finished,42,unsloth/gemma-2-9b-bnb-4bit,frblimp,True,260.671885191,0,1737315796.4366157,{'runtime': 260},"{'accuracy': 88.36, 'accuracy_per_subcat': {'1': 88.66, '10': 93.41, '11': 90, '12': 98, '13': 81.25, '14': 81.44, '15': 98.33, '16': 100, '17': 95, '18': 91.67, '19': 81.67, '2': 95.79, '20': 30.16, '3': 94.85, '4': 95.83, '5': 97.98, '6': 92.78, '7': 94.74, '8': 89.62, '9': 67.26}}",gt7erljq,finished,42,unsloth/gemma-2-9b-bnb-4bit,qfrcola,False,108,0,1757744180.9619477,{'runtime': 108},{'accuracy': 97.25}
gemma-2-9b-it-bnb-4bit,1d4vubbm,finished,42,unsloth/gemma-2-9b-it-bnb-4bit,frblimp,True,263.379588216,0,1737316066.2329133,{'runtime': 263},"{'accuracy': 86.77, 'accuracy_per_subcat': {'1': 87.63, '10': 89.01, '11': 91, '12': 94, '13': 78.12, '14': 82.47, '15': 98.33, '16': 95, '17': 93.33, '18': 93.33, '19': 80, '2': 92.63, '20': 41.27, '3': 96.91, '4': 93.75, '5': 98.99, '6': 87.63, '7': 85.96, '8': 85.85, '9': 67.26}}",b8l5h80t,finished,42,unsloth/gemma-2-9b-it-bnb-4bit,qfrcola,False,116,0,1757744307.7056973,{'runtime': 116},{'accuracy': 93.73}
gemma-2-27b-bnb-4bit,9wq1aeem,finished,42,unsloth/gemma-2-27b-bnb-4bit,frblimp,True,629.636256132,0,1737316702.271932,{'runtime': 629},"{'accuracy': 89.1, 'accuracy_per_subcat': {'1': 84.54, '10': 97.8, '11': 92, '12': 98, '13': 81.25, '14': 83.51, '15': 95, '16': 98.33, '17': 96.67, '18': 93.33, '19': 81.67, '2': 97.89, '20': 38.1, '3': 96.91, '4': 97.92, '5': 96.97, '6': 96.91, '7': 97.37, '8': 83.96, '9': 66.37}}",363fvfyb,finished,42,unsloth/gemma-2-27b-bnb-4bit,qfrcola,False,251,0,1757744570.2005038,{'runtime': 251},{'accuracy': 98.04}
gemma-2-27b-it-bnb-4bit,zvh0eooa,finished,42,unsloth/gemma-2-27b-it-bnb-4bit,frblimp,True,629.253250401,0,1737317337.9365244,{'runtime': 629},"{'accuracy': 86.54, 'accuracy_per_subcat': {'1': 88.66, '10': 94.51, '11': 88, '12': 93, '13': 77.08, '14': 84.54, '15': 91.67, '16': 98.33, '17': 93.33, '18': 91.67, '19': 83.33, '2': 87.37, '20': 33.33, '3': 96.91, '4': 95.83, '5': 96.97, '6': 91.75, '7': 91.23, '8': 85.85, '9': 61.95}}",iry4rtgt,finished,42,unsloth/gemma-2-27b-it-bnb-4bit,qfrcola,False,252,0,1757744833.3178742,{'runtime': 252},{'accuracy': 96.47}
Ministral-8B-Instruct-2410,x60j68gv,finished,42,mistralai/Ministral-8B-Instruct-2410,frblimp,True,204.674402795,0,1737317549.0711455,{'runtime': 204},"{'accuracy': 87.96, 'accuracy_per_subcat': {'1': 85.57, '10': 91.21, '11': 93, '12': 98, '13': 81.25, '14': 91.75, '15': 91.67, '16': 98.33, '17': 91.67, '18': 93.33, '19': 85, '2': 92.63, '20': 30.16, '3': 96.91, '4': 96.88, '5': 95.96, '6': 95.88, '7': 94.74, '8': 87.74, '9': 58.41}}",98jiqwu5,finished,42,mistralai/Ministral-8B-Instruct-2410,qfrcola,False,167,0,1757745011.3534029,{'runtime': 167},{'accuracy': 98.43}
Mistral-7B-v0.3-bnb-4bit,ipu9n6dt,finished,42,unsloth/Mistral-7B-v0.3-bnb-4bit,frblimp,True,180.528898949,0,1737317735.9660006,{'runtime': 180},"{'accuracy': 85.86, 'accuracy_per_subcat': {'1': 86.6, '10': 91.21, '11': 91, '12': 95, '13': 82.29, '14': 82.47, '15': 88.33, '16': 93.33, '17': 90, '18': 85, '19': 73.33, '2': 91.58, '20': 26.98, '3': 95.88, '4': 93.75, '5': 95.96, '6': 92.78, '7': 90.35, '8': 83.02, '9': 69.91}}",d1z8kso9,finished,42,unsloth/Mistral-7B-v0.3-bnb-4bit,qfrcola,False,73,0,1757745095.093589,{'runtime': 73},{'accuracy': 97.65}
